URL туру,Назва туру,День №,Місто/Локація,Активності (теги),Опис дня,Симв.
https://eurotrips.ua/praga-drezden/,Вікенд у Празі + Дрезден БЕЗ НІЧНИХ,1,Львів,ВИЇЗД ЗІ ЛЬВОВА; ЗНАЙОМСТВО; Ігри в автобусі; НІЧНИЙ ПЕРЕЇЗД,"Зверніть увагу, що потяги зараз можуть затримуватись, тому радимо планувати прибуття до місця виїзду за 10 годин, а в ідеалі — за добу до старту туру.
06:00 Збір групи у Львові
06:30 Виїзд зі Львова.
Наш довгоочікуваний відпочинок розпочинається просто зараз. Кажуть, що найкращий спосіб перезавантажитися – це змінити картинку за вікном та затестити нові експіріенси. Саме цим ми будемо займатися у нашому тріпі.
На декілька днів ми змінимо звичний маршрут “дім - офіс - супермаркет - спортзал” на нові міста та гастро-точки. Все це у дружній компанії мандрівників та у спокійному чіл-форматі – жодних нічних переїздів.
Час поставити справи на паузу та подбати про свій внутрішній стан. Тож, вперед!
Ніч в готелі в Празі.
*Оскільки через військовий стан багато хто опинились в різних країнах, ми індивідуально підкажемо кожному як приєднатись до туру (з України чи з-за кордону).",880
https://eurotrips.ua/praga-drezden/,Вікенд у Празі + Дрезден БЕЗ НІЧНИХ,2,Прага,Прогулянка з локалом; кораблик по Влтаві; ВІЛЬНИЙ ЧАС; екскурсія наймістичнішими куточками Праги,"Сніданок в готелі.
Нас зустрічає місцевий мешканець, який покаже найцікавіші споти та розповість інсайти про локалів. Разом ми будемо гуляти Карловим мостом, куштувати чеські смаколики у старому місті та побачимо унікальний астрономічний годинник на Староміській площі.  Аби додати нашій подорожі більше розкоші (бо ми цього варті:), навідаємося у Празький Град, який вважається найбільшим палацовим комплексом у світі. Тільки уяви, в одному місці розташоване Королівське місто Градчани, резиденція Президента Чехії, найбільший палац світу, пивоварня 13 століття і 5 найкращих оглядових майданчиків міста. Ті королі явно розумілися на гарному житті. Вартість – 20 євро. Після активної прогулянки саме час підкріпитися. Після побаченого в королівській резиденції було б дуже банально піти на обід у звичайний ресторан. Ми продовжимо додавати розкоші і влаштуємо обід на кораблику по Влтаві! Будемо куштувати локальні страви, насолоджуючись видом на місто з води. Шум хвиль, вітер у волоссі, смачна їжа і келих шампанського за нашу подорож. Вартість обіду на кораблику – 40 євро.
Заселення в готель.
Увечері пропонуємо прогулятися містом з містичним вайбом. Заблукаємо вузькими лабіринтами середньовічних вулиць, освітлених загадковим світлом газових ліхтарів, відчуємо незвичайні запахи та звуки і побачимо дивних створінь, що ховаються в тіні старовинних будинків. Вартість – 20 євро.
Усі додаткові активності (далі – допки) не обов'язкові, і ти самостійно вирішуєш, відвідувати їх чи ні. Ніч в готелі.",1502
https://eurotrips.ua/praga-drezden/,Вікенд у Празі + Дрезден БЕЗ НІЧНИХ,3,Прага | Дрезден | Саксонська Швейцарія,знайомимось із Дрезденом; Дрезденська картинна галерея; вільний час; Саксонська Швейцарія,"Сніданок у готелі.
По бажанню відправимося в Дрезден – одне з найбільш королівських міст Німеччини. Нас чекає Дрезденська галерея, тераса Брюллів, опера Землера і Цвінгер. А ще затишні кафе в самісінькому центрі і атмосферні пивоварні. Дорогою заїдемо на фотопаузу в парк Бастай. Саксонська Швейцарія — знаменита простора долина з скелями, ущілинами і захоплюючими видами на долину річки Ельба. Вартість поїздки у Дрезден + Саксонська Швейцарія — 50 євро. Вільний день для тих, хто залишився в Празі. Увечері забігай зігрітися в улюблене місце нашої команди - Zkušební Provoz (Kralodvorska 11). Тут нам завжди раді!
Ніч в готелі.",629
https://eurotrips.ua/praga-drezden/,Вікенд у Празі + Дрезден БЕЗ НІЧНИХ,4,Львів,Краків; Прибуття до Львова; фінальні обійми; планування нової подорожі,"Сніданок та виселення з готелю. Прибуття до Кракова.
На нас чекає оглядова екскурсія містом з локалом, яка вже входить у вартість туру. Після екскурсії буде час для самостійних прогулянок вуличками старого міста, кави з краківським сирником чи шопінгу.
Вартість оглядової прогулянки з локалом – 10 євро.
Орієнтовне прибуття до Львова — о 00:00.",344
https://eurotrips.ua/transylvaniya/,Вікенд у Трансильванії + Бухарест,1,Львів,збір групи у Львові; переїзд в Брашов; Тур у Румунію; Тур на вихідні,"06:00 — збір групи у Львові 07:00 — виїзд зі Львова
Наша пригода починається! Комфортабельний автобус з відмінною музикою, фільмами і компанією — це тільки початок. Пам'ятай, як зустрінеш подорож, так її і проведеш.
Крім вражень від Трансильванії, на тебе чекають нові знайомства, повне перезавантаження всіх внутрішніх батарейок та свобода для здійснення особистих бажань. Іноді, щоб вирішити всі свої питання, достатньо просто відправитись в подорож. Так і зробимо.
Прибуття у Брашов та заселення у готель.
Потяги наразі можуть затримуватись. Рекомендуємо планувати прибуття до місця відправлення щонайменше за 10 годин, а в ідеалі — за добу до старту туру.
Оскільки через воєнний стан багато людей опинились в різних країнах, ми індивідуально підкажемо кожному як приєднатись до туру (з України чи з-за кордону).",815
https://eurotrips.ua/transylvaniya/,Вікенд у Трансильванії + Бухарест,2,Брашов / замок Бран / замок Кантакузіно,Сніданок у готелі; Вільний час у Брашові; Подорож до Бухареста; Прогулянки та кав’ярні; Ніч у готелі,"Сніданок в готелі.
Насолоджуємося ранковою кавою, смакуємо сніданком та запасаємося енергією на активний день. Ми у Брашові — одному з найгарніших міст Трансильванії. На оглядовій прогулянці разом з місцевим гідом пройдемо найвужчою вулицею Румунії, зайдемо до найбільшої готичної церкви Східної Європи, піднімемося на Оглядову вежу і відчуємо темп площі Ради.
У вільний час вирушаємо у замок Бран, відомий якзамок Дракули. Таємні переходи, старовинні кімнати, вежі і легенди, від яких моторошно навіть удень.
Далі — замок Кантакузіно, де знімали серіал Венздей. Відчуємо атмосферу академії Невермор та зробимо фото на впізнаваних локаціях.
Вартість відвідування двох замків: 35€+ вхідні квитки.
Ввечері — вільний час у Брашові. Атмосферні паби, готичні вулички або просто прогулянка нічним містом.
Вечері повернення в готель та ніч в готелі.
Усі додаткові активності (далі — допки) необов’язкові і ти самостійно вирішуєш відвідувати їх чи ні.",943
https://eurotrips.ua/transylvaniya/,Вікенд у Трансильванії + Бухарест,3,Брашов / Бухарест,Сніданок та виселення; Оглядова екскурсія з локалом; Замок Бран (Дракула); Замок Кантакузіно; Вільний час у Брашові; Вечірній виїзд до Львова; Нічний переїзд,"Сніданок та виселення з готелю.
Сьогодні вибір за тобою. Можна залишитися в Брашові — ще є що дослідити, куди зайти і де посидіти з кавою без поспіху.
Інший варіант – поїхати з нами в Бухарест за новими враженнями. Разом із гідом-локалом прогуляємося містом; побачимо величезний Палац Парламенту, найбільшу урядову будівлю Європи; зайдемо в локальні книгарні та кав’ярні. Вартість поїздки: 50€.
Вечірній виїзд до Львова та нічний переїзд в Україну.
Усі допки не обов'язкові. Ти самостійно вирішуєш, відвідувати їх чи ні.",520
https://eurotrips.ua/transylvaniya/,Вікенд у Трансильванії + Бухарест,4,Львів,повернення додому; планування наступних подорожей разом,"Прибуття до Львова орієнтовно о 15:00.
Час в дорозі ідеально підходить для того, щоб нарешті запостити весь контент в соцмережі. Щоправда, зі сторіз він зникне за добу, а спогади залишаться на все життя. До нових зустрічей! Впевнені, це станеться зовсім скоро.
*Час прибуття до Львова — орієнтовний. Не рекомендуємо купувати квитки на зворотний потяг завчасно.
**Якщо треба підказати, як краще дістатись точки збору з твого міста і назад — просто скажи про це нашому менеджеру.
***Ціни на додаткові активності можуть незначно змінюватися залежно від сезону або інших обставин",575
https://eurotrips.ua/italijski-rizdvyani-yarmarky/,Італійські різдвяні ярмарки,1,Львів,виїзд зі львова; знайомство; нічний переїзд до Італії; Поїздка у Італію,"06:00 Збір групи у Львові / 06:30 Виїзд зі Львова
Вітаємо в подорожі! Вмикаємо режим “Давайте вже після свят” і вирушаємо у довгоочікувану відпустку. На нас вже чекають різдвяні ярмарки у найгарніших італійських містах, багато смачної їжі, апероль та тотальний релакс.
Поки що займай місце в автобусі, відпочивай та знайомся з новими друзями. Хто знає — можливо, саме з цієї поїздки розпочнеться твій найкращий рік?
Якщо вдало пройдемо кордон, то ввечері на тебе чекає особливий бонус у Будапешті! Нічна прогулянка на кораблику Дунаєм – найкращий спосіб познайомитися з містом у новорічному сяйві. Будемо милуватися підсвіченим Парламентом, робити фотки з келихом ігристого та ловити перші моменти відпустки. А потім просто розслабимося під шум хвиль та теплі розмови з компанією. Вартість прогулянки – 35 євро.
Нічний переїзд до Італії.
*Оскільки через воєнний стан багато людей опинились в різних країнах, ми індивідуально підкажемо кожному як приєднатись до туру (з України чи з-за кордону).",994
https://eurotrips.ua/italijski-rizdvyani-yarmarky/,Італійські різдвяні ярмарки,2,Верона,"прибуття до Верони; заселення в готель; оглядовка з локалом; прогулянка ""Шляхами Ромео і Джульєтти""; ніч в готелі; Тур на італійські озера","Cніданок у дорозі та прибуття у Верону.
Ми в одному із найромантичніших міст світу, де чи не кожна вуличка сповнена любовними історіями та цікавими легендами. Саме звідси розпочинаємо наше знайомство із різдвяною Італією.
Заселяємося в готель та вирушаємо на оглядову прогулянку Вероною разом із локалом. Побачимо “Балкон Джульєтти”, площу Ербе, середньовічні палаци, Арену ді Верона та інші атмосферні локації, прикрашені святковими вогнями.
Хочеш ще більше романтики, різдвяного вайбу та love story? Ходімо на прогулянку ""Шляхами Ромео і Джульєтти"" з місцевим мешканцем. Він покаже нетипові місця Верони та розповість реальні історії кохання, що тут трапилися. Дізнаємося, де насправді жили герої Шекспіра та знайдемо таємні закохані послання на стінах старовинних палаців. Вартість прогулянки – 25 євро.
А ввечері — як щодо келиха вина в енотеці, прогулянки вздовж річки Адідже або просто вечора під яскравими вогниками старого міста? Давай розслабимося і відчуємо цю святкову легкість, коли робочі чати мовчать, немає метушні в очікуванні гостей, і можна просто насолоджуватися новими місцями.
Усі допки не обов'язкові, і ти самостійно вирішуєш, відвідувати їх чи ні.
Ніч у готелі.",1185
https://eurotrips.ua/italijski-rizdvyani-yarmarky/,Італійські різдвяні ярмарки,3,Мілан,виселення з готелю; оглядовка з локалом по Мілану; вільний час; переїзд та ніч в готелі,"Сніданок в готелі.
Наступна зупинка нашого різдвяного тріпу – Мілан! Тут на нас вже чекає місцевий мешканець, аби познайомити з найцікавішими спотами. Ми побачимо величний Дуомо і поганяємо голубів на однойменній площі, пройдемося лакшері торговою галереєю Віктора Еммануїла II, послухаємо цікаві інсайти про італійців та дізнаємося, у чому секрет La Dolce Far Niente (солодкого нічогонероблення).
А ще в грудні та на початку січня площа Piazza del Duomo перетворюється на справжню казку. Тут працює різдвяний ярмарок з понад 80 дерев’яними будиночками, де можна скуштувати сезонні італійські смаколики: традиційний міланський панетоне, різноманітні сири, смажені каштани, гарячий шоколад, глінтвейн та вуличні закуски. Звідусіль доносяться аромати спецій, казково підсвічується собор та будівлі довкола, щасливі люди обіймаються і роблять Cheers – те, що треба, аби відчути святкову атмосферу.
У вільний час можеш продовжити гуляти містом або поїхати з нами на озеро Комо. Ти точно бачив ці локації на Pinterest або листівках, а вживу вони ще більш мальовничі. Суцільна естетика, що надихає та сповнює спокоєм. Спочатку прогуляємося вздовж озера, оточеного Альпами, наробимо класних фото та помилуємося розкішними віллами. Це місце точно увійде в топ твоїх найулюбленіших. Вартість поїздки – 55 євро (прогулянковий кораблик входить у вартість).
Давай влаштуємо Secret Santa у святковому турі! Що ти любиш більше: отримувати подарунки чи дарувати? Будемо дуже вдячні, якщо ти заздалегідь підготуєш маленький презент, який отримає хтось із твого гурту. Більш детальну інформацію тобі розповість наш менеджер та супроводжуючий.
Усі допки не обов’язкові — ти сам вирішуєш, що саме зробить твій день ідеальним.
Ніч у готелі.",1720
https://eurotrips.ua/italijski-rizdvyani-yarmarky/,Італійські різдвяні ярмарки,4,Венеція,сніданок в готелі; прибуття в Венецію; прогулянка на кораблику з локалом; водне таксі Гранд каналом; подорож на о. Бурано; вільний час; нічний переїзд до Львова,"Cніданок в готелі та виселення.
Для більшої казковості та різдвяного настрою не вистачає Венеції. Тому сьогодні ми тут, у місті на воді із сотнею каналів та мостів. Під час дороги до Сан-Марко гід нам буде розповідати про Венецію, її історію та сучасність. (вартість трансферу до Сан-Марко – 30 євро).
Обов’язково заглянемо на місцевий різдвяний ярмарок, аби вкотре скуштувати місцеві смаколики (обов’язково спробуй венеціанське печиво zaeti) та випити глінтвейну з видом на сяючі будівлі.
У вільний час запрошуємо в круїз Гранд Каналом на справжньому венеційському водному таксі! Попливемо головною вулицею міста, де палаци просто виростають з води та відчуємо себе зірками фільму “Турист”. Вартість – 35 євро.
Взимку особливо хочеться яскравих кольорів, тож як щодо того, аби вирушити до острова Бурано? Тут ду-уже багато атмосферних і різнокольорових будинків, немає натовпів туристів, а кожна стіна — ідеальний інста-ракурс. Відчуємо той самий slow-living та влаштуємо фотосесію. Вартість виїзду на острів – 40 євро.
Увечері — вільний час, аби пройтись набережною, знайти ресторанчик з домашньою пастою та підняти келих за цю подорож. Обмінюємося враженнями, фото та соцмережами і…можемо планувати вже наступні тріпи разом.
Нічний переїзд до Львова.",1253
https://eurotrips.ua/italijski-rizdvyani-yarmarky/,Італійські різдвяні ярмарки,5,Львів,повернення додому; планування наступної подорожі разом,"Прибуття до Львова орієнтовно о 22:00.
День у дорозі. Ідеальний час, аби нарешті запостити весь зроблений у подорожі контент, змонтувати Reels чи просто відпочити. До зустрічі у нових мандрівках!
Якщо тобі треба підказати, як краще дістатись точки збору з твого міста і назад — просто скажи про це нашому менеджеру. * Ціни на додаткові активності можуть незначно змінюватися в залежності від сезону або інших незалежних від нас обставин. ** Час прибуття до Львова — орієнтовний, не рекомендуємо купувати квитки на зворотний потяг.",530
https://eurotrips.ua/kanikuly-v-barseloni/,Канікули в Барселоні,1,Збір групи / Долина Красунь в Егері,збір групи; старт туру; виїзд зі Львова; переїзд до Угорщини; Егер; Долина Красунь; початок подорожі,"Сьогодні стартує наша подорож до нових країн, яскравих міст і незабутніх вражень
Не хвилюйся про організацію — ми подбали про все, а тобі залишається насолоджуватися дорогою, знайомитися з новими друзями та відчути той особливий настрій початку великої пригоди.
Першу зупинку робимо в Долині Красунь в Егері — затишному та атмосферному місці в Угорщині, яке ідеально підходить для відпочинку після дороги.
Тут за бажанням пропонуємо обід з традиційним угорським гуляшем  — смачно, поживно та саме те, що потрібно перед подальшою дорогою. Вартість обіду: 15 € з особи.
Увечері приїжджаємо до готелю, де зможемо відпочити, прийняти душ і набратися сил перед наступними днями подорожі.
Ніч у готелі.
P.S. Якщо зручно приєднатися до групи в Мукачево, Стрию або в іншому місті по маршруту — напиши нам, і ми підкажемо найкращий варіант",830
https://eurotrips.ua/kanikuly-v-barseloni/,Канікули в Барселоні,2,Адріатика / Венеція та острови,сніданок у готелі; переїзд до Італії; Лідо-ді-Єзоло; Адріатичне море; Венеція; Бурано; нічний переїзд,"Сьогодні день, коли море та місто поєднуються у яскраві враження і справжній італійський настрій.
Сніданок у готелі.
Виселення та переїзд до узбережжя Адріатичного моря.
Лідо-ді-Єзоло — затишний курорт із довгою набережною, морським повітрям і легкою атмосферою відпочинку. Прогулянка вздовж моря, фото на фоні пляжу, вільний час для кави, морозива або невеликого шопінгу. Чудова можливість відпочити після дороги та налаштуватися на насичений день.
Для охочих до культури та нових відкриттів — екскурсія до Венеції.Місто каналів, старовинних мостів і вузьких вуличок захоплює з першого погляду. Пішохідна прогулянка історичним центром, площа Сан-Марко, Палац Дожів, атмосфера справжньої Італії.Вартість: 40 € дорослий / 35 € дитина.
Для тих, хто хоче ще більше кольорів і фотолокацій — острів Бурано.Різнокольорові будиночки, затишні вулички та особлива атмосфера маленького італійського містечка. Вартість: 35 €.
За бажанням можливий заїзд на водному таксі Гранд-каналом.Панорами Венеції з води, палаци та мости з унікального ракурсу. Вартість: 35 €.
Після насиченого дня повертаємося на узбережжя, збираємося в дорогу та вирушаємо у нічний переїзд до Іспанії.
Нічний переїзд.",1178
https://eurotrips.ua/kanikuly-v-barseloni/,Канікули в Барселоні,3,Середземне море / Перше знайомство з Іспанією,прибуття до Іспанії; заселення в готель; Середземне море; узбережжя; прогулянка містом; захід сонця,"Перший день на узбережжі — зустріч з прекрасним Середземним морем.
Заселяємося в готель на узбережжі — комфортні номери для відпочинку після дороги.
Хочеш відчути морську атмосферу? Прогулянка вздовж пляжу подарує легкий морський бриз, золотистий пісок та аромат хвиль, навіть якщо купання не на порядку денному. Тут можна бігати, грати у волейбол, робити фото, збирати мушлі або просто насолоджуватися спокоєм і красою узбережжя.
Вечеря в готелі, а після — легка прогулянка містом. Вузькі вулички та перші каталонські смаколики створюють справжній середземноморський вайб.
Фінал дня — захід сонця на набережній. Організовуємо пікнік на узбережжі — чудова можливість перекусити, поспілкуватися та насолодитися морськими краєвидами.
Час вдихнути морське повітря і відчути: твоя іспанська пригода щойно почалася.
Ніч у готелі.",824
https://eurotrips.ua/kanikuly-v-barseloni/,Канікули в Барселоні,4,"Барселона: ритм, історія, свобода",сніданок у готелі; відпочинок на морі; Барселона; Готичний квартал; Гауді; парк Ґюель; середземноморський вайб,"Сніданок у готелі.
Сьогодні день на морському узбережжі — його можна провести у власному темпі або вирушити за драйвом та новими емоціями до Барселони. Місто, де кожен куточок дихає історією та мистецтвом, гарантовано подарує яскраві враження.Вартість поїздки: 30 €.
Прогулянка Готичним кварталом — вузькі вулички, старовинні фасади, атмосферні кав’ярні та автентичний місцевий ритм життя. Тут легко зупинити час і просто насолоджуватися моментом. Вартість активності: 20 €.
Далі — знайомство з фантастичним світом Антоніо Гауді. Химерні лінії, кольорові мозаїки та унікальна архітектура створюють відчуття, ніби місто живе власним ритмом. Відвідуємо парк Ґюель та інші шедеври генія. Вартість активності: 25 € + вхідний квиток.
Повернення до готелю на узбережжі, вечеря та вечірні прогулянки — час насолодитися середземноморським вайбом і спокоєм після насиченого дня.",869
https://eurotrips.ua/kanikuly-v-barseloni/,Канікули в Барселоні,5,"PortAventura: адреналін, швидкість, емоції",PortAventura; парк розваг; адреналін; американські гірки; день драйву; емоції; узбережжя Іспанії; євротріп,"Сніданок у готелі.
Сьогодні на нас чекає день максимального драйву та яскравих вражень у легендарному парку розваг PortAventura. Це один із найвідоміших тематичних парків Європи, де кожна зона — окрема пригода. Вартість поїздки: 40 € + вхідний квиток.
PortAventura складається з шести тематичних зон, які переносять у різні куточки світу:
Після насиченого дня повертаємося до готелю на узбережжі.Вечеря, вечірні прогулянки та час поділитися емоціями й враженнями.
Ніч у готелі.",477
https://eurotrips.ua/kanikuly-v-barseloni/,Канікули в Барселоні,6,"Французька Рив’єра: Ніцца, Монако, гламур",Французька Рив’єра; Ніцца; Монако; прогулянка; узбережжя; гламур; євротріп; фото; море; подорож,"Сніданок у готелі.
Сьогодні рушаємо назустріч новим пригодам на Французьку Рив’єру.
Ніцца — наше перше місто. Воно зустрічає легким вітерцем, шумом хвиль та ароматом моря. Прогулянка з локалом відкриває справжній ритм узбережжя: набережна, затишні кафе, яскраві будинки та особлива атмосфера міста. Тут можна гуляти, робити фото та ловити місцевий вайб.
Далі вирушаємо до Монако — маленького, але яскравого міста з блискучими яхтами, вузькими вуличками та аристократичним гламуром князівства. Це чудова можливість відчути себе героєм голлівудського фільму та зробити неймовірні фотографії. Вартість поїздки: 35 €.
Після гламурного дня повертаємося до Італії, поселення в готель і заслужений відпочинок перед наступними пригодами.
Ніч у готелі.",743
https://eurotrips.ua/kanikuly-v-barseloni/,Канікули в Барселоні,7,"Озеро Гарда: фортеця, атракціони, релакс",Озеро Гарда; Peschiera del Garda; Гардаленд; атракціони; фортеця; відпочинок; релакс; нічний переїзд; євротріп; фото,"Сніданок у готелі.
Сьогодні рушаємо до південного берега озера Гарда — одного з найкрасивіших озер Італії.
Перший пункт — Peschiera del Garda. Старовинна фортеця XVI століття оточує місто мурованими стінами, а канали й вузькі вулички створюють атмосферу спокою та релаксу. Вода, старовинна архітектура та тиша дарують ідеальний відпочинок перед останніми яскравими враженнями.
Пропонуємо поїздку в Гардаленд — один з найвідоміших тематичних парків Італії. Атракціони для будь-якого віку, шоу та інтерактивні програми подарують незабутні емоції та фото для пам’яті. Вартість: 25 € + вхідний квиток.
Після насиченого дня вирушаємо у нічний переїзд в Україну. Час відпочити та пригадати всі яскраві моменти подорожі.
Ніч у дорозі.",727
https://eurotrips.ua/kanikuly-v-barseloni/,Канікули в Барселоні,8,Повернення додому,Обійми; планування нової наступної подорожі,"Ось і настав фінальний день нашої пригоди - час підсумків, обміну емоціями та планування нових подорожей, поки спогади про море, гори та міста ще яскраво гріють серце.",167
https://eurotrips.ua/vikend-u-krakovi/,Канікули в Енерджиландії + Краків БЕЗ НІЧНИХ,1,Львів,збір групи у Львові; виїзд в Краків,"Цей тур можна оплатити частинами. Залишай заявку, і ми розповімо детальну інформацію.
Зверніть увагу, що потяги зараз можуть затримуватись, тому радимо планувати прибуття до місця виїзду за 10 годин, а в ідеалі — за добу до старту туру.
06:00 Збір групи у Львові / 06:30 Виїзд зі Львова
Вітаємо в подорожі! Попереду – омріяний вікенд у Кракові та багато теплих моментів. Складай валізу в автобус, вмощуйся зручніше і знайомся з новими друзями.
Пропонуємо дорогою заїхати на ферму альпак. Так-так, це ті пухнасті тваринки, що заполонили увесь інстаграм. Їхня милота розтопить твоє сердечко, обіцяємо. Вартість відвідування — 30 євро.
Прибуваємо у Краків та відразу йдемо знайомитися із містом разом із локалом. Під час прогулянки побачимо легендарного Дракона — символ Кракова, готичний Маріацький костел, один із найстаріших університетів Європи та ще багато цікавого. І все це під захопливі розповіді місцевого, який занурить нас у польський вайб минулого та сучасності.
Казімеж та Вавель. Кахімеж — це район, де Краків живе не за туристичним розкладом, а на повну. Барчики з атмосферою, вінтажні кав’ярні, стріт-арт і музика з кожного кута — тут легко зависнути на кілька годин. Ідеальне місце, щоб відчути творчу, нічну й трохи бунтарську душу міста. Далі — Вавельський пагорб, серце польської історії. Побачимо королівський замок і кафедральний собор, а з висоти відкриються панорами на Віслу та старе місто.
Екскурсія знайомить з двома різними, але однаково важливими сторонами Кракова. Вартість — 20 євро/дорослий, 10євро/діти до 11,99.
Ніч у готелі.
*Оскільки через військовий стан всі опинилась в різних країнах, ми індивідуально підкажемо кожному як приєднатись до туру (з України чи з-за кордону).",1707
https://eurotrips.ua/vikend-u-krakovi/,Канікули в Енерджиландії + Краків БЕЗ НІЧНИХ,2,Татри | Морське Око,трекінг по Татрам; озеро Морське Око; пікнік з фотосесією; релакс у термалах,"Сніданок у готелі.
Вільний день у Кракові. Можеш самостійно вирушити на прогулянку містом, блукаючи середньовічними вулицями, досліджуючи автентичні кав’ярні та заглядаючи у костели.
За більшим вау-ефектом пропонуємо поїздку в Закопане — серце Польських Татр.Вартість — 30 євро (дорослі) / 19 євро (діти до 11,99 років).
У самому Закопане запрошуємо приєднатися до додаткового трекінгу до найгарнішого озера в Польських Татрах — Морського Ока. Автобусом дістанемося до Лисої Галявини, а звідти підемо у трекінг. Дорога досить рівна, тому навіть без спортивної підготовки почуватимешся комфортно. Не забудь про зручне взуття, воду та снеки — вони знадобляться. Вісім кілометрів неспішної прогулянки з перервами на фотосесії, і ось ми на місці. Насолоджуємося прозорою водою в оточенні гірських вершин. Вартість— 25 євро(дорослі) / 15 євро(діти до 11,99)
Після активного дня вирушаємо на повний релакс у Хохоловські терми. Тепла вода, спокій і відновлення сил після гірської прогулянки — ідеальне завершення дня.Вартість — 15 євро (дорослий) / 10 євро (діти до 11,99 років) + вхідний квиток оплачується додатково.
Усі додаткові активності не обов’язкові — ти сам вирішуєш, які локації відвідати.
Ніч у готелі.",1207
https://eurotrips.ua/vikend-u-krakovi/,Канікули в Енерджиландії + Краків БЕЗ НІЧНИХ,3,Краків,Енерджіландія; виїзд додому,"Сніданок у готелі та виселення.
Погнали в Енерджіландію! Це найбільший парк розваг у Польщі з найкрутішими американськими гірками та десятками атракціонів для дітей і дорослих. Тут на тебе чекають екстремальні спуски, швидкість, драйв і море яскравих емоцій. Це не просто прогулянка, а повне занурення у світ розваг, де кожна локація дарує нові враження та заряд енергії (вхідні квитки оплачуються додатково)
Сповнені натхнення та нових спогадів, повертаємося додому. Обмінюємося фото та соцмережами, виставляємо контент і плануємо нові подорожі!
Орієнтовний час прибуття у Львів – 00:00.
Якщо тобі треба підказати, як краще дістатись точки збору з твого міста і назад — просто скажи про це нашому менеджеру.
*Ціни на екскурсії можуть незначно змінюватися, в залежності від сезону або інших не залежних від нас обставин.
** Час прибуття до Львова — орієнтовний, не рекомендуємо купувати квитки на зворотний потяг.",913
